raw_run,filling_scheme,filling_config,fillno,energy,intensity_per_bunch,mu,interacting_bunches,noninteracting_bunches_beam_1,noninteracting_bunches_beam_2,interaction_trigger,rate,beam_empty_trigger,empty_empty_trigger,muon_trigger,high_multiplicity_trigger,emcal_trigger,calibration_trigger,quality,muon_quality,comment,changedon,changedby,field_value,field_message,aco_value,aco_message,ad0_status,ad0_message,emc_value,emc_message,fmd_value,fmd_message,hlt_status,hlt_message,hmp_value,hmp_message,mch_status,mch_message,mtr_value,mtr_message,phs_value,phs_message,pmd_status,pmd_message,spd_value,spd_message,sdd_value,sdd_message,ssd_value,ssd_message,tof_value,tof_message,tpc_value,tpc_message,trd_value,trd_message,t00_value,t00_message,v00_value,v00_message,zdc_value,zdc_message,hlt_mode_value,hlt_mode_message
279036,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6241,6499,,,1042,874,874,376358,87.4640961,,,248014,,78421,,,,,1506314498,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
279035,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6241,6499,,,1042,874,874,178341,91.2697067,,,,,36586,,,,,1506313647,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
279008,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,1665563,92.2238617,,,1101940,,342689,,,,,1506299833,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
279007,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,128398,86.5215607,,,88708,,37044,,,,,1506279457,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
279005,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,1582575,92.8305359,,,1032187,,323514,,,,,1506282395,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
279000,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,358098,93.1334229,,,,,73790,,,,,1506279437,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
278999,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,63810,83.7401581,,,33277,,13733,,,,,1506277826,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
278994,359,25ns_1916b_1909_1042_1560_112bpi_20i8b4e,6240,6499,,,1042,874,874,49180,106.220299,,,21536,,10133,,,,,1506278383,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
278964,361,25ns_1358b_1346_816_1311_112bpi_15i8b4e,6239,6499,,,816,542,542,305361,103.687943,,,147834,,50787,,,,,1506246843,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
278963,361,25ns_1358b_1346_816_1311_112bpi_15i8b4e,6239,6499,,,816,542,542,1160983,105.505547,,,531403,,192218,,,,,1506323792,LogbookSync,1,- -,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-1000,Not set,-2000,Detector off,3,C
